Number,Tweets,Class
208,Deprem bölgesinde kadınların hijyenik ped ihtiyacı sürüyor. İhtiyacı olanların rahatça dile getirmesi kolay olmayabilir çünkü toplumumuzda regl olmaktan bahsetmek maalesef ayıp sayılabiliyor.  @orkid   @KotexTurkiye   @turkiyemolped,1.0
209,Bilge Yücel Aytaç   +90 542 179 36 00   Yakınca mahallesi Kenan ışık caddesi yakınca spor salonu MALATYA   Kadın kıyafet- Kadın İç Çamaşırı   Çocuk kıyafet 7-8-9 yaş   Çocuk İç Çamaşırı   Kadın ped,1.0
210,"Adrese çadır, battaniye, bebek bezi ve ped yardımı lazım. Adres: Gözene Köyü, Doğanşehir/Malatya ve Yeşilyurt/Malatya İletişim: 0535 564 68 55(Levent Günay)",1.0
211,"Güncel!! ‼️Diyarbakır Kent Düğün Salonu Battaniye, ilaç, ıslak mendil, peçete, kolonya, ped gibi malzemelere ihtiyaç var. çocuklar ve gençler hasta ve özellikle battaniye ve ilaç desteği lazım. LÜTFEN ACİL YARDIM GİTMESİ GEREKİYOR!! 📌İletişim numarası: 0552 938 4372 - Hülya Unsu",1.0
212,"ADANA ALPASLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ -kuru bakliyat -su, kek, meyve suyu -paketli gida -ped İHTİYACI VAR iletişim 05070923541 05436167163 instagram: atuogrencikonseyi",1.0
213,"Kahramanmaraş merkez elmalar köyü gökdaşlar mahallesi  elektrik, yemekleri, suları, ped vs temel ihtiyaçları yok. Enkaz yerinde mağdur bekliyorlar yardım götürebilirler mi yaşlılar ve çocuklar var acil Melike Gökdaş 05427450579",1.0
214,"🔴TEYİT🔴 Bu adrese acil kadın kıyafeti, iç çamaşırı, ped, su, gıda ve çadır ihtiyacı var.  Adres: Kürecik köyü, Daraca Mahallesi, Akçadağ/MALATYA İletişim: 0545 530 24 21 (Hivda) 0546 225 17 59 (Beritan)",1.0
215,"Defne belediyesi Koçören mahallesi yukarı Koçören sk. Gül villaları  Çok fazla sayıda çadır lazım çoğu insan dışarda kalıyor   Islak mendil, ped, su, bebek bezi, temel gıda, iç çamaşırı, çorap, mont ya da kalın ceket vb   +90 (536) 594 53 94",1.0
216,"🔴TEYİT🔴 Adrese çadır, battaniye, bebek bezi ve ped yardımı lazım. Adres: Gözene Köyü, Doğanşehir/Malatya ve Yeşilyurt/Malatya İletişim: 0535 564 68 55(Levent Günay)",1.0
217,"Yardım Göndermek İsteyenler Ulaşabilir  Ped, iç çamaşır, alt kıyafet, peçete, çocuk bezi ihtiyaçları Urfa da çadırda kalanlar için acil ihtiyaçlar   iletişim  Talha Yavuz 0 533 507 12 23",1.0
218,"TEYİTLİ *Hatay:Kırıkhan* *Delibekirli mah. Tepe sokak 295 taksim 1* *15 kişiler kuru gıda,hijyen malzemesi,hijyenik ped 5 kadın için iç çamaşırı,çorap,battaniye, el feneri,pil,powerbank*  *Aşşağı yukarı 5 aile var* *Sadullah Kal +90 505 486 77 15* *Oğlu Ali Bura+90 543 498 50 65*",1.0
219,İhtiyaç listesi:  - Biberon  - Bebek bezi - Bebek maması - Hijyenik ped  - Kıyafet özellikle bebekler için  - Odun ve kömür   Adres: Karaçay Mah. 6032. Sokak NO:1 / Osmaniye MERKEZ  İletişim: +90 542 294 06 11 Doğukan Ede,1.0
220,"Reşaybet mahallesi muhtarlığı önünde bekleyen vatandaşlar var.  Hijyenik ped, bebek bezi, bebek maması, kuru ve konserve gıda ihtiyaçları varmış. Teyitli bilgi Oradaki arkadaşın iletişim numarası: 0 (533) 162 70 72 Sude  #SONUMUT120SAAT #AHBAP #adana",1.0
221,TEYİTLİ  0 (542) 745 05 79   elektrik gıda su ped  ELMALAR KÖYÜ GÖKDAŞLAR MAHALLESİ MERKEZ KAHRAMANMARAŞ,1.0
222,MARAŞ ELBİSTAN halkı için: Erkek kadın kalın çorap Bere eldiven Kışlık iç çamaşırı Hasta kadınlar için özellikle ped istiyorlar Yakacak odun kömür !! Erzak olarak bakliyat sıkıntısı yok!! Makarna felan fazla fazla var merkezlerde. Afad Görevlisi İsmail Bey:0551 268 14 66,1.0
223,"Kayseri istikametinde bucak ilçesinde çağlayan köyü Kahramanmaraş  Kıyafet, iç çamaşırı, ped, gıda lazım acil ÇADIRDA KALIYORLAR hiçbir şeyleri yok arkadaşlar 6 aile toplam 40 kişi kadınlar ve çocuklar var iletişim reyyan taşır: 05376799713  @ahbap   @haluklevent   @DepremDairesi  ‼️‼️",1.0
224,"Kırıkhana’a gelen yardımlar yağmalanmış. Kırıkhan’a acil battaniye, yemek ve su yardımı lazımmış.  İletişim: Umut - 0 531 361 31 15",1.0
225,Çadır battaniye lazım  Emek mahallesi ümit sokak Antakya İletişim: 0539 226 2043,1.0
226,"KAHRAMANMARAŞTA ACİL ÇADIR ‼️  onikişubat ilçesi hacıbudak köyü  10 kişiler yaşlı ve çocuk var. acil çadıra, ısıtıcıya, battaniye, erzak ihtiyaçları var BURHAN KÖSE: 0551 164 42 25",1.0
227,"Hızlıca yayar mısınız lütfen   “Teyitli. Hatay Madenboyu köyü acil yardım malzemesi lazım. Su, gıda, kadın ve çocuk hijyen malzemeleri, battaniye.  HÜSEYİN OKUTAN 0538 773 99 79”",1.0
228,Süt şeker 5 numara çocuk bezi battaniye Mimar Sinan mahallesi 8543 sokak 9A OSMANİYE Evde de abi çadır isteyeceğim inşallah Karocu kemal tarafında Elektrikli soba da lazım Aracım yok 5 kişiyiz   0543 740 32 51,1.0
229,"Güncel!! ‼️Diyarbakır Kent Düğün Salonu Battaniye, ilaç, ıslak mendil, peçete, kolonya, ped gibi malzemelere ihtiyaç var. çocuklar ve gençler hasta ve özellikle battaniye ve ilaç desteği lazım. LÜTFEN ACİL YARDIM GİTMESİ GEREKİYOR!! 📌İletişim numarası: 0552 938 4372 - Hülya Unsu",1.0
230,"Adana Ceyhan Modern Evler 706 sk no 25  Bu bölgeye asla yardım ulaşmıyor ve insanlar hasarlı binalarda kalıyor çok zor durumdalar. 05464671598  Numaranin sahibinin psikolojisi uykusuzluktan ve zor şartlardan dolayı bozulmuş durumda.⚠️ Çok acil battaniye, gıda ve özellikle çadır",1.0
231,Hatay defne toygarlı köyü şehirden gelenler buraya yerleşmiş ancak hiç battaniye gıda su yardımı ulaşmamış. 2000 kişi kadar. Acil ve Teyitli. 0531 372 58 10,1.0
232,Çukurova belediyesi tesisler müdürlüğü cok fazla yaşlı ve çocuk var kışlık kıyafet ve battaniye ihtiyacımız var 544 926 74 46,1.0
233,"Kahramanmaraş pazarcık mülk köyleri aşağı mülk köyü, çadır su battaniye lazım  0538 596 25 27 Eren Dudak",1.0
234,Yardım tırları köye gelmeden yağmalanıyormuş. Köydeki insanlara battaniye çadır ve odun talep ediyor Pazarcık ördek dede köyü ne acil yardım istedi 0506 505 28 35 ismail Bey,1.0
235,"Kahramanmaraş/Elbistan hacı Hasanlı mahhalesi aşılık sokak no 20  0541 606 37 53 hasan boran  Bu adrestekiler hepsi yaşlı temel gıda ve battaniye lazım, çok zor durumdalar  +90 344 445 11 53 bulundukları yerin sabit telefonu",1.0
236,-HATAY   !!! BEBEKLER AÇ ACİL !!!   YALANGÖZ KÖYÜ/KIRIKHAN/HATAY Berivan Durkal +905392409764 battaniye çadır ilaç ısıtıcı battaniye bebek maması hijyen kitleri kıyafet,1.0
237,"Arkadaşlar çok acil Adıyaman aile tipi çadır, mat, uyku tulumu, battaniye ihtiyaçları var. Şehir tamamen enkaz, ara sokaklar dümdüz ve insanlar dışarda kendilerine branda germişler. Çok acil lütfen bunu yayalım etiketleyelim önemli insanları. Buranın talebi bu arkadaşlar",1.0
238,"Tahtaköprü mahallesi antakya hatay Hala yardım gitmemiş kalabalık bir aile var battaniye, çadır, kıyafet, yiyecek, ısıtıcı, çorap lazım çok acil 0531 435 29 95 Aysegul vurucu",1.0
239,"Kahramanmaraş pazarcık mülk köyleri aşağı mülk köyü, çadır su battaniye lazım  0538 596 25 27 Eren Dudak",1.0
240,Yardım tırları köye gelmeden yağmalanıyormuş. Köydeki insanlara battaniye çadır ve odun talep ediyor Pazarcık ördek dede köyü ne acil yardım istedi 0506 505 28 35 ismail Bey,1.0
241,"Hatay Orhanlı köyündeki serada yaklaşık 20 kişi var. Soğukta donuyorlar ve suları yok.   Çadır, battaniye ve suya ihtiyaçları var.",1.0
242,"Sinan Bıkmaz 0544 591 96 99 Hatay İskenderun, Arsuz Hüyük Köyü,10kişiler, çadır,battaniye,erzak yardımı.",1.0
243,"Malatya Merkez, Selçuklu Mahallesi, Çehre Sokak  0543 115 63 46  Göknur Karakaş. Yakacak gerekli, yiyecek ve battaniye ihtiyaçları var.",1.0
244,"Çok acil, çok soğuk!   Teyitli:  Adıyaman/Merkez, Siteler Mah. Karamusa Cad. No:127/1  7 aile için ÇOK ACİL çadırlara ihtiyaç var. Aile nüfusları kalabalık. Ayrıca insanlar için battaniye, iç çamaşırı ve su gerekiyor.   İletişim: 0538 370 14 61 - Yılmaz Erdoğan",1.0
245, Yardım çağrısı:   Hocam güncel paylaşır mısın lütfen. Battaniye ve yiyecek ihtiyaçları varmış.+90 543 957 44 20 Nazlı. Sanayi Mh. 60018 sokak - no:117 Şehitkamil Gaziantep.,1.0
246,"Kahramanmaraş / Afşine ACİL gıda,ilaç,ısıtıcı,battaniye ve yatak ihtiyaçları var. Özellikle ısıtıcı ihtiyaçları var çünkü afşinde hava şuan çok soğuk. Bölgede afad çalışıyor fakat koordinasyon sorunu var ve yardımlar ulaşamıyor. LÜTFEN ACİL DESTEK 0539 204 4682 Eren Erkan",1.0
247,COK ACİLL GÜNCELL ‼️‼️🚨🚨🚨  Dulkadiroğlu aslanbey mahallesi 77. Sokak Kahramanmaraş Mervenur karaboğa 05510266551 çadır battaniye ihtiyaçları var 5 aylık bebek var hasta lütfen yardım edin lütfen,1.0
248,!!!ACİL!!! Hatay Hassa Buhara Köyü burası sağlam olduğu için depremzedeler buraya sığındı. 2000-3000 kişi var! Çadır-yorgan-battaniye-gıda gerekiyor! İletişim: Ali Çakmak - 0507 704 16 83,1.0
249,"ACİL  Kahramanmaraş Onikişubat yörük selim mahallesi jandarma üstü sosyete kebab karşısı boş arsa  Çadır, gıda ve powerbank ihtiyaçları var.",1.0
250,DE VAR İŞ MAKİNESİ VE KEPÇE NOLURSUNUZ 0533 665 31 83 BARIŞ BEY POWERBANK İHTİYACI DA VARMIŞ,1.0
251,"ERAY MERT KAYA VE AİLESİ- TAHLİYE EDİLECEK KALACAK YER HAZIR, MADDİ DESTEK VE POWERBANK İLETİŞİM  0535 743 06 46 KAHRAMANMARAŞ",1.0
252,"Antakya'da Bulunan Doktordan Duyuru  Naciye Hanım  Yardım tırları ulaşıyor fakat dağıtım çok kısıtlı. Halk perişan, hava çok soğuk, yardımları ulaştırmamız gerekiyor. Elektrik yok, powerbank ihtiyacımız bulunmaktadır.  İletişim: 0543 349 23 34",1.0
253,❗HATAY BİZZAT ARANDI❗  ACİL Çadır ve ısınma ihtiyacı var! Çocuklar için mont ve bot gibi kıyafetler ve powerbank lazım. 25 kişi var 4'ü çocuk.  👉Hatay/Arsuz Hüyük mahallesi İstiklal caddesi no:19  📞 Büşra Reyhani: 0531 495 59 21 ❗Muhtar: Rıdvan Dural  #depremsondakika #ACİL,1.0
254,Mazot benzin jeneratör projektör el feneri toz maskesi powerbank lazım ACİLL!!  Antakya akevler mahallesi 4. Akevler sokak ıraz apartmanı no 9 +90 (533) 604 30 32 LÜTFEN ÇOK ACİL YARDIM BEKLİYORLAR!!!,1.0
255,Dm:  Buluttepe mahallesi 1723 sokak no 11 Hatay/İskenderun  Powerbank   Bölgedeki insanların şarjı kalmamış maalesef,1.0
256,"Yusuf Çolak Telefon:05510503364(depremzede Yakını) Kişi Sayısı:4 kişi Adres:Hatay-İskenderun Mustafa Kemal Mah 1013 no 6 İhtiyaç:bebek bezi,battaniye,Powerbank,Isınma teyitli",1.0
257,"05382373994Gamze küçük 05416581691onur küçük 05362572094kısmet yıldırım şebeke ve şarj sıkıntılı olduğu için en ulaşılabilir 3 kişi bunlar Hatay akcurun köyünde akcurun sk. 39. 31060 Hatay  (kırsal kesimdeler )36.206196, 36.253631konumunda Powerbank,erzak battaniye çadır lazım!",1.0
258,"Teyitli ve acil:  Adıyaman, Bahçelievler Mah., 951. Sk, Beyaz Saray Otel'in olduğu aradan girince soldan ilk büyük mavi kapı.  Kömürlükte yaşlı bir kadın ve 2'si bebek 4 çocuk var. Çok üşüyorlar. Acil odun, kömür ve yakınlarına ulaşabilmesi için powerbank lazım.  05393618068",1.0
259,TEYİTLİ  ACİL🚨  ARKADAŞIM GAZİANTEPTE 1. Battaniye 2. Fener 3. Powerbank 4. Type C şarj aleti  5. Küçük de olsa jeneratör  6. 42-43 erkek ayakkabı (4 adet) 7. 40 kadın ayakkabı (4 adet)  temin edebilirseniz bizzat gelip alacak. bulunduğu yerdeki acil ihtiyaçlar.  542 894 77 79,1.0
260,"ACİL!  Hatay Antakya-Bozhöyük köyü İhtiyaç:Kıyafet ve hasta bezi,pilli el feneri,powerbank,kadın iç çamaşırı  Kişi:15 kişi brandalardan çadır yapmışlar. 05053487731 Halil Çelikyürek arkadasımızın babası suan bölgedeymis emekli polis 0534 883 88 84 hatice çelikyürek bu da kuzeni",1.0
261,"Hatay’dan yazıyorum. İhtiyaç Listesi!!  - Araçlar için akaryakıt  - Pilli ve tüplü aydınlatma ve ısınma araçları - Yedek pil, yemek yapmak için küçük büyük tüp - Powerbank - Çadır, mümkünse birkaç tır dolusu - Jeneratör ve acil iletişim araçları",1.0
262,"TEYİTLİ  Bostanbaşı hocalar mahallesi mazlum sokak Bostanbaşı okulunun hemen arka tarafı Yeşilyurt Malatya  - Isıtıcı, powerbank, 2 yaş bebek bezi, yiyecek, giyecek bir çocuk 4 yaşında annesiyle - Feyza Kutsal +90 543 329 16 00    @AFADBaskanlik   @AKUT_Dernegi  @DepremDairesi   @ahbap",1.0
263,-HATAY   Hatay Antakya  Güzelburç mah A5 çıkmaz sokak  Ihtiyaclari olan malzemeler Mum  Battaniye jeneratör iç çamaşır powerbank  Yiyecek mazemesi   Akan Şahıtoğlu: 531 698 76 21,1.0
264,"-HATAY  Çadir battaniye mont 12 ve 9 yasinda Çocuklarim var ayakkabi Çorap powerbang  jenarator kuru gida su Çocuklar iÇin süt islak mendil kadin pedi. yag kahvaltilik 37,36, 39, 40 numara botlar giyecek beden L. Adres, güzelburÇ Mahallesi,Istiklal cad. 14 no.25 .tel. 05058534697",1.0
265,"HATAY çadır, ısıtıcı, powerbank, el feneri ihtiyaları var Hatay/ dursunlu dağı bölgesi/Sumerler mah. Ziraat bankası karşı.   Nadide sezin: 05352628800",1.0
266,gelen mesaj: ‼️ERZAK LAZIM ACİL‼️ Ballıca mahallesi 10030sokak no:13/2 Dulkadiroğlu/ Kahramanmaraş Mehmet esenceli caddesi üzeri yan taraftaki arsadayız-Zeliha Yıldız Bilal  0530 770 78 27 Powerbank - Hijyen malzemesi,1.0
267,Teyitli:  Çevre illerden gelen 4 kişilik sağlıkçı grubumuz arabalarında çok üşüyorlar. Battaniyeye ve powerbank'e ihtiyaçları var.   Adres: Mustafa Kemal Üniversitesi Gemicilik Binası yanındaki otopark İletişim: 05077927809 - Oğulcan Bayramoğlu,1.0
268,⚠️ ACİL TEYİTLİ BİZZAT GÖRÜŞTÜM  Sokakta kalmışlar şu an acil ısıtıcı çadır erzak bere mont çorap powerbank gerekli donuyorlar. 35-40 kişiler çok fazla çocuk bir de bebek var!!!  EKİNCİ MAH ESKİ SSK KAVŞAĞI GÖKKUŞAĞI KINA EVİ KIR BAHÇESİ ANTAKYA/HATAY CANAN DOKSÖZ 0535 822 79 35,1.0
269,Adıyaman Besni Kesmetepe Köyünde benzin ve mazot ihtiyacı var. Hamile bir kadının acil bir şekilde çıkarılması gerekiyor. İLETİŞİM NO: 0536 560 82 91 FADİME KOCA,1.0
270,Mazot benzin jeneratör projektör el feneri toz maskesi powerbank lazım ACİLL!!  Antakya akevler mahallesi 4. Akevler sokak ıraz apartmanı no 9 +90 (533) 604 30 32 LÜTFEN ÇOK ACİL YARDIM BEKLİYORLAR!!!,1.0
271,KAHRAMANMARAŞ !!! Piazza Avm arkası Ebrar Sitesi Z blok   Çalışmaların devam etmesi için jeneratör ve mazot lazım lütfen yardımcı olalım arkadaşlar.,1.0
272,"ARKADAŞLAR ACİL⌛️⌛️  30 KİŞİLİK GRUP #ADIYAMAN BÖRGENEK KÖYÜNDE  DURUMLARI ÇOK KÖTÜ  ACİL Erzak,Bebek ve yaşlı bezi, Battaniye Mazot lazım lütfen yayın  İletişim : +90 534 289 42 38 (Berivan) Konum: Börkenek",1.0
273,Teyitlidir Elbistan’da Yardımların insanlara ulaşması için mazot desteği lazım çadırlara vs götürülmesi için insanları alabilmek için lütfen Avukat Tarık Şahin +90 505 070 16 46,1.0
274,Aşağıokçular mahallesi çiçek sokak no:8 Hatay defne Şeval İrem Gücel  05312825298 acil mazot lazım aciil,1.0
275,KAHRAMANMARAŞ  Bayazitli mahallesi guzlek caddesi no 12 kahramanmaras. Arabada kaliyorlarmis bot mont ve mazot yardimina ihtiyaclari oluyormus.+90 (546) 811 35 16 Ali Mert Pekmezci,1.0
276,Ailesini enkazda kaybeden Aysima bebeği doktor görmesi gerekiyor. Bebek hiçbir mamayı ve süt anneyi kabul etmiyor. Ağzında yaralar oluşmuş. Suyla besleniyor. Bulundukları yerde mazot yok sağlık çalışanı yok. Acil yardım gerekiyor. Adres 5 nisan mah. 2009 sk: no 54 12şubat/K.Maraş,1.0
277,BELEN HATIRA ORMANI CİVARI Arkadaşlar  aile dostumuz İskenderun’a giderken mazot boruları patladığı için yolda kalmışlar yardım edebilicek birileri varsa lütfen ulaşsın bana ya da bu numaraya ulaşsın. Lütfen yayalım yardım için gidiyorlardı.  0535 623 3465 Murat Taş,1.0
278,Adiyamandayım lütfen acil çok acil çadir kefen bezi mazot yardımı 😢😢🙏iletişim tel 0530 425 1421 İsa tas,1.0
279,Börgenek köyü  Erzak yardımı gerekli  Bebek ve yaşlı bezi  Battaniye kışlık  Mazot vs 30 kişiler  adı Berivan arkadaşımın +90 534 289 42 38 numarası,1.0
280,Bayazitli mahallesi guzlek caddesi no 12 kahramanmaras. Arabada kaliyorlarmis bot mont ve mazot yardimina ihtiyaclari oluyormus.+90 (546) 811 35 16 Ali Mert Pekmezci,1.0
281,"Acil Powerbank, gıda, mazot ve ilaç lazım. Maşuklu mahallesi, aydınlık sokak, Vahit Bıyıklı apartmanı No:9  Antakya / Hatay 0 (507) 631 99 24",1.0
282,"‼️ACİL MAZOT‼️  16 EFY 85-Mehmet Akar  AŞAĞIDAKİ ADRESE MAZOT ULAŞTIRILMASI LAZIM   Cebrail Mahallesi, Fatih Caddesi, Şensöz Apartmanı, No: 15, Antakya/Hatay.  İrtibat: 0 507 319 31 45",1.0
283,Adıyaman Besni Kesmetepe Köyünde benzin ve mazot ihtiyacı var. Hamile bir kadının acil bir şekilde çıkarılması gerekiyor. İLETİŞİM NO: 0536 560 82 91 FADİME KOCA,1.0
284,"ARKADAŞLAR ACİL⌛️⌛️  30 KİŞİLİK GRUP #ADIYAMAN BÖRGENEK KÖYÜNDE  DURUMLARI ÇOK KÖTÜ  ACİL Erzak,Bebek ve yaşlı bezi, Battaniye Mazot lazım lütfen yayın  İletişim : +90 534 289 42 38 (Berivan) Konum: Börkenek https://maps.app.goo.gl/Aqy8s7gBf4sBjMr76…  @BabalaTv   @ProfDemirtas   @haluklevent",1.0
285,"MAZOT İHTİYACI 16 EFY 85 - Mehmet Akar  AŞAĞIDAKİ ADRESE ACİL MAZOT ULAŞTIRILMASI LAZIM !  Adres: Cebrail Mahallesi, Fatih Caddesi, Şensöz Apartmanı, No:15 Antakya/Hatay  İletişim: +90507 319 3145",1.0
286,HATAY ACİL ACİL ACİL ‼️  Rönesans Rezidans   Isıtıcı  Seyyar tuvalet Battal boy çöp poşeti Mazot ve Ameliyat Eldiveni LAZIM  +0507 744 74 94 - ELİSA ŞAHİN,1.0
287,"TEYİTLİ Hatay / Yayladağ merkeze acil yardım gerekli mazot yok ısınmayı sağlayamıyolar yanlarında çocuk ve bebek var aşırı açlar ve soğuk battaniye gıda , bebek bezi bebek maması ihtiyaçları var hijyenik ped ihtiyaçları +90 544 969 56 90   @OguzhanUgur   @haluklevent   @AFADBaskanlik",1.0
288,"TEYİTLİ ‼️  #Hatay #Kırıkhan   Battaniye, Çadır, Mazot, Isıtıcı Acil İhtiyaç var o bölgede olup temin edecek olanlar lütfen acil olarak iletişime geçsin aile mağdur durumda!  Songül koyuncu - 05550796930 - Aydınlı mahallesi 617 sokak no 14 Kırıkhan Hatay",1.0
289,"Acil mazota ihtiyacımiz var!!!  İş makinası için. SADECE MAZOT.   Merve Över  05077637676,   Esentepe mah.nuri konuralp CAD.cinar partmani b blok.  Enkaz kaldırımı yarım kalacak!!",1.0
290,"Güncel🔴 HATAY Defne Güneysöğüt mah. 3628. Sok.(samandağa giderken sağda) bir aile günlerdir soğukta, mazotları bittiği için gidemiyorlar. Bekleyecek durumda değiller.Mazot takviyesi için yardım bekliyorlar. İletişim: 05374312806 @OguzhanUgur   @haluklevent   @DepremDairesi  #hatay",1.0
291,KAHRAMANMARAŞ  Bayazitli mahallesi guzlek caddesi no 12 kahramanmaras. Arabada kaliyorlarmis bot mont ve mazot yardimina ihtiyaclari oluyormus.+90 (546) 811 35 16 Ali Mert Pekmezci,1.0
292,-ADIYAMAN   Siteler mah 20127. Sk no8 merkez Adıyaman 5078744529 ömer turan   ısıtıcı benzin ve çadır ihtiyaçları var 4 gündür arabadalarmış,1.0
293,Karaağaç konaklı mahallesi 99 sokak no:8 hatay samandağ 8 kişiler erzak bekliyorlar  05352537449  Antakya merkez sümerler acil benzin lazım engelli çocuklar ve bebekler var.,1.0
294,"HATAY/HASSA   çay mahallesi hürriyet cad. no 78  Hakan ÇAM 0536 630 15 50  ÇADIR, benzin, ısıtıcı ama elektrik yok. erzak.  acil ısınmak için çadır cocuklar donucak! -teyitli-",1.0
295,"-KAHRAMANMARAS   afadda gonulluyum, burada hilti, jenerator, soba, benzin gerekli Elbistan Organize Sanayi  :0507 939 51 85",1.0
296,Adıyaman Besni Kesmetepe Köyünde benzin ve mazot ihtiyacı var. Hamile bir kadının acil bir şekilde çıkarılması gerekiyor. İLETİŞİM NO: 0536 560 82 91 FADİME KOCA,1.0
297,"Yüzlerce kişi Hatay / Antakya Rönesans Rezidans enkazında sıkışmış.  Arama çalışmalarının gece durmadan devam edebilmesi için aydınlatma (Fener/kafa lambası vb.), vinç, benzin/mazot, megafon ve maskeye ihtiyaç var!",1.0
298,Nardüzü mah. Hürriyet Cad. 80 sok. no:3 Hatay /Arsuz Evde 7 çocuk 13 yetişkin varmış.Gıda ve su ihtiyaçları varmış. İletişim çiğdem akkaya 0536 291 36 96 #hatayafad #hatayafad #deprem,1.0
299,Bir var bir yok  Onlar öğrenci tam anlamı ile çalışmadı  Bir çalışma yaptırıyorum bir yok  Nedir bu ya çocuk oyuncağı yaptınız. Ummadığınız staj mağdurları ve ailleri sandıkta deprem etkisi yaratacak  Biz çocuk değiliz seçmeniz  Sigorta geçersiz olsa da oyumuz geçerli  #OyumStaja,0.0
300,"Bu Ülkenin Vatandaşlarına ve Halkın Benimseyip  Değer Verdiği Canlılara Zarar Veren ve O Kişilere  Emir Veren Yetkili veya Yetkisiz Her Kim Varsa.. DÜŞÜNEREK HAZIRLADIKLARINIZI, YAŞAYARAK TADARSINIZ.!! 🤲❤🙏İNŞAALLAH🙏❤🤲 #GeceyeBirNot  #Konyadakatliamvar  #deprem",0.0
301,Benim kurduğum şeyleri bozmaya çalışmak acemilik işi birinin hayatında bir yer edindisem o merkezden çıkarsan beni mazallah deprem olur çilesini ben değil siz çekersiniz o burnuzu çekin hayatımdan,0.0
302,"Muğla’nın Marmaris ilçesinde saat: 23.09’da 4.4 şiddetinde meydana gelen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyor, can ve mal kaybı olmamasını temenni ediyoruz.  #MarmaristeDeprem #marmaris #deprem",0.0
303,"İçişleri Bakanımız Sn. Süleyman Soylu, Düzce’de meydana gelen #deprem sonrası barınma faaliyetlerine yardımcı olmak amacıyla bölgede görev yapan Silivri Arama Kurtarma (SAK) ekiplerimiz ve Destek AFAD Gönüllülerimizi ziyaret etti.",0.0
304,Muğla Marmaris açıklarında meydana gelen deprem sonucu herhangi bir can ve mal kaybı olmamasını temenni ediyorum. Çok geçmiş olsun. Rabbim beterinden korusun inşallah.,0.0
305,"Deprem konusunda en büyük ciddiyetsizliklerden biri de 5’in altındaki 3’lük 4’lük depremleri medyanın son dakika diye vermesi. Ayıp. 4’lük depremde de geçmiş olsun demezsin bi zahmet. Kaç kişinin kıçı sismograf da, hissetti de geçmiş olsun diyorsun. Konunun ciddiyeti tavsıyor.",0.0
306,Sinirlerim altüst oldu yazmam lazım konsantre olamıyorum deprem ve sonrası yasadığım şeyleri üzerimden atmaya çalışıyorum ve bunun için dokuz aydır ugrasıyorum amainsanların dilinin kemiği olmadığı için kimi nasıl üzerim diye düşünmeden konuşuyorlar o kadar cok sustuklarım varki,0.0
307,"Buda devletti, Deprem yerine üç gün sonra gitmişti  , deprem zedeler kendi  yaralarını kendileri sarmıştı . Toplanan paralarda memur maaşları ödebdi... Heyy gidi günler heyyyy birdaha  bunların eline   bırakmasın  Rabbima",0.0
308,"Istanbulda deprem olsa da olmasa da Istanbul'un merkezi bosaltiliyor, göcler tasraya yani hep Kentten uzaklasiyorsunuz. Deprem sadece Dolar kazanan Azinliklarin Kentten atilmasini saglayacaktir. Merkez Istanbul depremsiz kendiliginden bosaldi zaten.",0.0
309,"Marmaris açıklarında meydana gelen 4,4 büyüklüğündeki deprem sonrası ekiplerimizden herhangi bir olumsuzluk yaşanmadığı bilgisini almak bizleri rahatlattı.  Depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.",0.0
310,su an ailemde bazi saglik sorunlari disinda ilginctir bi problemim yok. ama ben surekli beynimde kotu senaryolar kuruyorum. ya gece deprem olursa ya sabaha cikamazsm ya yolda araba carprsa ya soyle olursa vs vs kendi kendimi yiyorum. bu dusunceleri nasl susturucam gercekten imdat,0.0
311,"Düzce'de artçı depremler devam ediyor bunlar normal olağan olması gereken artçı depremler yeni farklı depremler değil ""neden sürekli deprem oluyor"" demek depremi halen öğrenememiş olmaktır artçı depremler sürecek 4'den büyük artçı deprem de olabilir normaldir 5'den büyük olmaz",0.0
312,Rant uğruna bina yoğını yaptığınız şehre karşı kendinizi nasıl affettireceksiniz? Deprem toplanma alanlarını neden ranta açtınız akepe döneminde. 20 milyondan fazla insan deprem anında nerede toplanacak. 20 milyon insan aklın hayalin alıyor mu,0.0
313,Geçmiş olsun #Muğla  #Deprem  Muğla'nın Marmaris ilçesi açıklarında 4.4 büyüklüğünde deprem meydana geldi.,0.0
314,"Hükümet,  Ev kredi faizlerini düşürür ev fiyatları artar. Otomobil vergisini düşürür araba fiyatları artar. Gıda ürünlerinden aldığı vergiyi yüzde 1'e düşürür gıda fiyatları artar.  Deprem, sel, yangın olur ev kiraları artar.  Para kazanmanın bir limiti bir insafı olmalı...",0.0
315,"Gezici Aşevi projemizin ilk amacı deprem sonrasında yaşanabilecek sıcak gıda temini sorununa çözüm oluşturmaktı, fakat gördük ki derinleşen yoksulluk şu anda Gezici Aşevimizi kullanma mecburiyetini yarattı. Komşularımızla her lokmamızı paylaşacağız, zor günleri birlikte aşacağız.",0.0
